window,rank,a,b,pair,corr_train,coint_pvalue_train,selected,selection_rule,train_start,train_end,test_start,test_end
2016-2026,1,V,JPM,V-JPM,0.9381332331089682,0.00905984284679877,False,screened_candidate,2008-03-19,2015-12-31,2016-01-01,2026-05-15
2016-2026,2,MA,JPM,MA-JPM,0.9314799748305267,0.018209960640753323,False,screened_candidate,2008-03-19,2015-12-31,2016-01-01,2026-05-15
2016-2026,3,MSFT,JPM,MSFT-JPM,0.9376564169548474,0.02247494504654804,False,screened_candidate,2008-03-19,2015-12-31,2016-01-01,2026-05-15
2016-2026,4,MSFT,MA,MSFT-MA,0.9501505289112657,0.17201777564268939,False,screened_candidate,2008-03-19,2015-12-31,2016-01-01,2026-05-15
2016-2026,5,V,MA,V-MA,0.9925652623407485,0.23813184584344227,True,fixed_famous_pair_v_ma,2008-03-19,2015-12-31,2016-01-01,2026-05-15
2016-2026,6,MSFT,V,MSFT-V,0.9558028363401427,0.2568412480373157,False,screened_candidate,2008-03-19,2015-12-31,2016-01-01,2026-05-15
2025,1,V,MA,V-MA,0.9966861092960025,0.012630800320388784,True,fixed_famous_pair_v_ma,2008-03-19,2024-12-31,2025-01-01,2025-12-31
2025,2,AAPL,MSFT,AAPL-MSFT,0.9882964465361639,0.027350882604026114,False,screened_candidate,2008-03-19,2024-12-31,2025-01-01,2025-12-31
2025,3,AAPL,JPM,AAPL-JPM,0.9410553428939531,0.1282838245022394,False,screened_candidate,2008-03-19,2024-12-31,2025-01-01,2025-12-31
2025,4,MSFT,MA,MSFT-MA,0.9681482510342256,0.24301492087255921,False,screened_candidate,2008-03-19,2024-12-31,2025-01-01,2025-12-31
2025,5,AAPL,MA,AAPL-MA,0.9571040517529396,0.28163615429478683,False,screened_candidate,2008-03-19,2024-12-31,2025-01-01,2025-12-31
2025,6,MSFT,JPM,MSFT-JPM,0.9579459122711288,0.32433621453320804,False,screened_candidate,2008-03-19,2024-12-31,2025-01-01,2025-12-31
2026,1,AAPL,MSFT,AAPL-MSFT,0.9870282587548177,0.0003329230891728581,False,screened_candidate,2008-03-19,2025-12-31,2026-01-01,2026-05-15
2026,2,V,MA,V-MA,0.9973500193219449,0.0033367740574426646,True,fixed_famous_pair_v_ma,2008-03-19,2025-12-31,2026-01-01,2026-05-15
2026,3,AAPL,MA,AAPL-MA,0.9656610374033628,0.08881491577142153,False,screened_candidate,2008-03-19,2025-12-31,2026-01-01,2026-05-15
2026,4,MSFT,MA,MSFT-MA,0.9748795569889691,0.08998720808705263,False,screened_candidate,2008-03-19,2025-12-31,2026-01-01,2026-05-15
2026,5,MSFT,V,MSFT-V,0.9658281525640471,0.20353741990383983,False,screened_candidate,2008-03-19,2025-12-31,2026-01-01,2026-05-15
2026,6,AAPL,V,AAPL-V,0.9549927017119649,0.3177259608719154,False,screened_candidate,2008-03-19,2025-12-31,2026-01-01,2026-05-15
